序号&省份&城市&城市编码&全拼&首拼
307&吉林省&永吉县&220221&yong ji xian&yjx
308&吉林省&伊通县&220323&yi tong xian&ytx
309&吉林省&洮南&220881&taonan&tn
310&吉林省&大安&220882&da an&da
311&吉林省&双辽&220382&shuang liao&sl
312&吉林省&公主岭&220381&gong zhu ling&gzl
313&吉林省&梅河口&220581&mei he kou&mhk
314&吉林省&农安&220122&nong an&na
315&吉林省&集安&220582&ji an&ja
316&吉林省&临江&220681&lin jiang&lj
317&吉林省&延吉&222401&yan ji&yj
318&吉林省&图们&222402&tu men&tm
319&吉林省&敦化&222403&dun hua&dh
320&吉林省&珲春&222404&hunchun&hc
321&吉林省&龙井&222405&long jing&lj
322&吉林省&延边朝鲜族自治州&222400&yan bian chao xian zu zi zhi zhou&ybcxzzzz
323&吉林省&和龙&222406&he long&hl
324&江西省&南昌&360100&nan chang&nc
325&江西省&九江&360400&jiu jiang&jj
326&江西省&景德镇&360200&jing de zhen&jdz
327&江西省&鹰潭&360600&ying tan&yt
328&江西省&新余&360500&xin yu&xy
329&江西省&萍乡&360300&ping xiang&px
330&江西省&赣州&360700&gan zhou&gz
331&江西省&上饶&361100&shang rao&sr
332&江西省&抚州&361000&fu zhou&fz
333&江西省&宜春&360900&yi chun&yc
334&江西省&吉安&360800&ji an&ja
335&江西省&瑞昌&360481&rui chang&rc
336&江西省&乐平&360281&le ping&lp
337&江西省&瑞金&360781&rui jin&rj
338&江西省&南康&360782&nan kang&nk
339&江西省&德兴&361181&de xing&dx
340&江西省&丰城&360981&feng cheng&fc
341&江西省&樟树&360982&zhang shu&zs
342&江西省&高安&360983&gao an&ga
343&江西省&井冈山&360881&jing gang shan&jgs
344&江西省&贵溪&360681&gui xi&gx
345&江苏省&南京&320100&nan jing&nj
346&江苏省&徐州&320300&xu zhou&xz
347&江苏省&连云港&320700&lian yun gang&lyg
348&江苏省&宿迁&321300&su qian&sq
349&江苏省&淮安&320800&huai an&ha
350&江苏省&盐城&320900&yan cheng&yc
351&江苏省&扬州&321000&yang zhou&yz
352&江苏省&泰州&321200&tai zhou&tz
353&江苏省&南通&320600&nan tong&nt
354&江苏省&镇江&321100&zhen jiang&zj
355&江苏省&常州&320400&chang zhou&cz
356&江苏省&无锡&320200&wu xi&wx
357&江苏省&苏州&320500&su zhou&sz
358&江苏省&江阴&320281&jiang yin&jy
359&江苏省&宜兴&320282&yi xing&yx
360&江苏省&邳州&320382&pizhou&pz
361&江苏省&新沂&320381&xin yi&xy
362&江苏省&金坛&320482&jin tan&jt
363&江苏省&溧阳&320481&liyang&ly
364&江苏省&常熟&320581&chang shu&cs
365&江苏省&张家港&320582&zhang jia gang&zjg
366&江苏省&太仓&320585&tai cang&tc
367&江苏省&昆山&320583&kun shan&ks
368&江苏省&吴江&320584&wu jiang&wj
369&江苏省&如皋&320682&ru gao&rg
370&江苏省&海门&320684&hai men&hm
371&江苏省&启东&320681&qi dong&qd
372&江苏省&大丰&320982&da feng&df
373&江苏省&东台&320981&dong tai&dt
374&江苏省&高邮&321084&gao you&gy
375&江苏省&仪征&321081&yi zheng&yz
376&江苏省&扬中&321182&yang zhong&yz
377&江苏省&句容&321183&ju rong&jr
378&江苏省&丹阳&321181&dan yang&dy
379&江苏省&兴化&321281&xing hua&xh
380&江苏省&姜堰&321284&jiang yan&jy
381&江苏省&泰兴&321283&tai xing&tx
382&江苏省&靖江&321282&jing jiang&jj
383&辽宁省&沈阳&210100&shen yang&sy
384&辽宁省&大连&210200&da lian&dl
385&辽宁省&朝阳&110105&chao yang&cy
386&辽宁省&阜新&210900&fu xin&fx
387&辽宁省&铁岭&211200&tie ling&tl
388&辽宁省&抚顺&210400&fu shun&fs
389&辽宁省&本溪&210500&ben xi&bx
390&辽宁省&辽阳&211000&liao yang&ly
391&辽宁省&鞍山&210300&an shan&as
392&辽宁省&丹东&210600&dan dong&dd
393&辽宁省&营口&210800&ying kou&yk
394&辽宁省&盘锦&211100&pan jin&pj
395&辽宁省&锦州&210700&jin zhou&jz
396&辽宁省&葫芦岛&211400&hu lu dao&hld
397&辽宁省&新民&210181&xin min&xm
398&辽宁省&瓦房店&210281&wa fang dian&wfd
399&辽宁省&普兰店&210282&pu lan dian&pld
